,,,,,,,
CS252 Operating System Assignment Q2.24 - System call trace on Windows - Output exported as CSV,,,,,,,
,,,,,,,
#,Time of Day,Thread,Module,API,Return Value,Error,Duration
43,1:10:43 PM,1,Code.exe,"fputc ( 0x0000006f, 0x75ef4680 )",0x0000006f,,0.0000001
44,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000070,,0.0000001
45,1:10:43 PM,1,Code.exe,"fputc ( 0x00000070, 0x75ef4680 )",0x00000070,,0.0000001
46,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000070,,0
47,1:10:43 PM,1,Code.exe,"fputc ( 0x00000070, 0x75ef4680 )",0x00000070,,0.0000001
48,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000069,,0.0000001
49,1:10:43 PM,1,Code.exe,"fputc ( 0x00000069, 0x75ef4680 )",0x00000069,,0.0000001
50,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x0000006e,,0.0000001
51,1:10:43 PM,1,Code.exe,"fputc ( 0x0000006e, 0x75ef4680 )",0x0000006e,,0
52,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000067,,0.0000001
53,1:10:43 PM,1,Code.exe,"fputc ( 0x00000067, 0x75ef4680 )",0x00000067,,0.0000001
54,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000020,,0
55,1:10:43 PM,1,Code.exe,"fputc ( 0x00000020, 0x75ef4680 )",0x00000020,,0.0000001
56,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000062,,0
57,1:10:43 PM,1,Code.exe,"fputc ( 0x00000062, 0x75ef4680 )",0x00000062,,0.0000001
58,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000079,,0.0000001
59,1:10:43 PM,1,Code.exe,"fputc ( 0x00000079, 0x75ef4680 )",0x00000079,,0.0000001
60,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000020,,0
61,1:10:43 PM,1,Code.exe,"fputc ( 0x00000020, 0x75ef4680 )",0x00000020,,0
62,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000074,,0.0000001
63,1:10:43 PM,1,Code.exe,"fputc ( 0x00000074, 0x75ef4680 )",0x00000074,,0.0000001
64,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000068,,0.0000001
65,1:10:43 PM,1,Code.exe,"fputc ( 0x00000068, 0x75ef4680 )",0x00000068,,0
66,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000065,,0.0000001
67,1:10:43 PM,1,Code.exe,"fputc ( 0x00000065, 0x75ef4680 )",0x00000065,,0.0000001
68,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000020,,0.0000001
69,1:10:43 PM,1,Code.exe,"fputc ( 0x00000020, 0x75ef4680 )",0x00000020,,0.0000001
70,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000077,,0.0000001
71,1:10:43 PM,1,Code.exe,"fputc ( 0x00000077, 0x75ef4680 )",0x00000077,,0.0000001
72,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x0000006f,,0.0000001
73,1:10:43 PM,1,Code.exe,"fputc ( 0x0000006f, 0x75ef4680 )",0x0000006f,,0.0000001
74,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x0000006f,,0.0000001
75,1:10:43 PM,1,Code.exe,"fputc ( 0x0000006f, 0x75ef4680 )",0x0000006f,,0.0000001
76,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000064,,0.0000001
77,1:10:43 PM,1,Code.exe,"fputc ( 0x00000064, 0x75ef4680 )",0x00000064,,0.0000001
78,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000073,,0
79,1:10:43 PM,1,Code.exe,"fputc ( 0x00000073, 0x75ef4680 )",0x00000073,,0
80,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000020,,0.0000001
81,1:10:43 PM,1,Code.exe,"fputc ( 0x00000020, 0x75ef4680 )",0x00000020,,0.0000001
82,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x0000006f,,0.0000001
83,1:10:43 PM,1,Code.exe,"fputc ( 0x0000006f, 0x75ef4680 )",0x0000006f,,0.0000001
84,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x0000006e,,0.0000001
85,1:10:43 PM,1,Code.exe,"fputc ( 0x0000006e, 0x75ef4680 )",0x0000006e,,0.0000001
86,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000020,,0
87,1:10:43 PM,1,Code.exe,"fputc ( 0x00000020, 0x75ef4680 )",0x00000020,,0.0000001
88,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000061,,0.0000001
89,1:10:43 PM,1,Code.exe,"fputc ( 0x00000061, 0x75ef4680 )",0x00000061,,0
90,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000020,,0.0000001
91,1:10:43 PM,1,Code.exe,"fputc ( 0x00000020, 0x75ef4680 )",0x00000020,,0
92,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000073,,0
93,1:10:43 PM,1,Code.exe,"fputc ( 0x00000073, 0x75ef4680 )",0x00000073,,0.0000001
94,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x0000006e,,0.0000001
95,1:10:43 PM,1,Code.exe,"fputc ( 0x0000006e, 0x75ef4680 )",0x0000006e,,0.0000001
96,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x0000006f,,0.0000001
97,1:10:43 PM,1,Code.exe,"fputc ( 0x0000006f, 0x75ef4680 )",0x0000006f,,0.0000001
98,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000077,,0
99,1:10:43 PM,1,Code.exe,"fputc ( 0x00000077, 0x75ef4680 )",0x00000077,,0.0000001
100,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000079,,0
101,1:10:43 PM,1,Code.exe,"fputc ( 0x00000079, 0x75ef4680 )",0x00000079,,0.0000001
102,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000020,,0.0000001
103,1:10:43 PM,1,Code.exe,"fputc ( 0x00000020, 0x75ef4680 )",0x00000020,,0.0000001
104,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000065,,0.0000001
105,1:10:43 PM,1,Code.exe,"fputc ( 0x00000065, 0x75ef4680 )",0x00000065,,0.0000001
106,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000076,,0.0000001
107,1:10:43 PM,1,Code.exe,"fputc ( 0x00000076, 0x75ef4680 )",0x00000076,,0.0000001
108,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000065,,0
109,1:10:43 PM,1,Code.exe,"fputc ( 0x00000065, 0x75ef4680 )",0x00000065,,0.0000001
110,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x0000006e,,0
111,1:10:43 PM,1,Code.exe,"fputc ( 0x0000006e, 0x75ef4680 )",0x0000006e,,0.0000001
112,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000069,,0.0000001
113,1:10:43 PM,1,Code.exe,"fputc ( 0x00000069, 0x75ef4680 )",0x00000069,,0
114,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x0000006e,,0.0000001
115,1:10:43 PM,1,Code.exe,"fputc ( 0x0000006e, 0x75ef4680 )",0x0000006e,,0.0000001
116,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000067,,0.0000001
117,1:10:43 PM,1,Code.exe,"fputc ( 0x00000067, 0x75ef4680 )",0x00000067,,0.0000001
118,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000020,,0
119,1:10:43 PM,1,Code.exe,"fputc ( 0x00000020, 0x75ef4680 )",0x00000020,,0.0000001
120,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x0000000a,,0.0000001
121,1:10:43 PM,1,Code.exe,"fputc ( 0x0000000a, 0x75ef4680 )",0x0000000a,,0.0000001
122,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x0000002d,,0.0000001
123,1:10:43 PM,1,Code.exe,"fputc ( 0x0000002d, 0x75ef4680 )",0x0000002d,,0
124,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000020,,0.0000001
125,1:10:43 PM,1,Code.exe,"fputc ( 0x00000020, 0x75ef4680 )",0x00000020,,0.0000001
126,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000062,,0.0000001
127,1:10:43 PM,1,Code.exe,"fputc ( 0x00000062, 0x75ef4680 )",0x00000062,,0.0000001
128,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000079,,0.0000001
129,1:10:43 PM,1,Code.exe,"fputc ( 0x00000079, 0x75ef4680 )",0x00000079,,0.0000001
130,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000020,,0.0000001
131,1:10:43 PM,1,Code.exe,"fputc ( 0x00000020, 0x75ef4680 )",0x00000020,,0.0000001
132,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000052,,0.0000001
133,1:10:43 PM,1,Code.exe,"fputc ( 0x00000052, 0x75ef4680 )",0x00000052,,0.0000001
134,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x0000006f,,0.0000001
135,1:10:43 PM,1,Code.exe,"fputc ( 0x0000006f, 0x75ef4680 )",0x0000006f,,0
136,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000062,,0.0000001
137,1:10:43 PM,1,Code.exe,"fputc ( 0x00000062, 0x75ef4680 )",0x00000062,,0.0000001
138,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000065,,0.0000001
139,1:10:43 PM,1,Code.exe,"fputc ( 0x00000065, 0x75ef4680 )",0x00000065,,0.0000001
140,1:10:43 PM,1,Code.exe,fgetc ( 0x75ef4660 ),0x00000072,,0.0000001
141,1:10:43 PM,1,Code.exe,"fputc ( 0x00000072, 0x75ef4680 )",0x00000072,,0.0000001
